sample_id,reference,hypothesis,wer,cer
0,"Mose ɖo nya sia ŋu na Yehowa be, “Ameawo mava Sinai toa dzi o, elabena ède se na wo be womekpɔ mɔ ava o.","mbusedo ña sianguna ye huwa ba, ama o ma vasina e twaji o, ala bana e desena o ba, o ma kpomwa a vaw.",1.0,0.3377
1,le dowòme.,la ddom.,1.0,0.625
2,"Esi Sanebalat se be míele glia ɖom la, eku dzi nɛ.","kasi, sanibala, msebe, mielegile adumla, ekudine.",1.0,0.2895
3,"” Nyɔnua kɔ vidzĩa dzoe, eye wòɖakpɔ edzi.","nonwa, ko vidya joye, ɛye, woda kpoji.",1.0,0.5
4,"Fia Dario ɖe gbe be woayi dɔa dzi, eye wowu gbedoxɔa nu.","fiya dari yo ndegbe be, wayi dwa ji, ayee, wawu, bado xwanu.",0.9167,0.3256
5,"Míawo ɖeɖe míatui na Aƒetɔ, Israel ƒe Mawu la abe ale si Persia-fia Kores ɖoe na mí la ene.","mya odede mya twina apeto isrape mawla, abe alesi pesi afya koresi dwe namila ene.",0.8947,0.2571
6,Ale wona gae tso esi wodzɔ le trɔ̃ Baal Berit subɔƒe la me eye fia Abimelek tsɔ ga sia ƒo gbevu aɖewo nu ƒu ɖe eɖokui ŋu.,"alèwona gaye, co sio jëlé tren barbaret subo fè là mè, èyè fi àbímalèc cɔ́ ga si a fò gbèvù àdè ó nù fúɖè dó kwíń.",1.0,0.5484
7,Dzudzɔ de dzi ʋĩi abe dzudzɔti me wòle dodom tso ene; to blibo la le ʋuʋum sesĩe ŋutɔ.,"judodde jibi ab judotima, reda doom, co ona, toble bola levuvum sa sinto.",1.0,0.4776
8,"Eya ta azɔ la miʋu miaƒe nuvɔ̃ me na Aƒetɔ, mia tɔgbuiwo ƒe Mawu la, eye miawɔ eƒe lɔlɔ̃nu.","kayata, asola, mivu mya fye nuvo mena a fye tok, mya tok biyo fye mawla, aye, mya wo a fye lolonu.",1.1053,0.4265
9,Ewɔ ɖeka kple Ahab to via nyɔnuvi ɖeka ɖeɖe me.,a woɗe kapla a hap tou via ñonu vide ka de de ma.,1.2,0.3784
10,"Nuku bubuwo ge ɖe ŋu me, eye ŋu vu tsyɔ wo dzi woku.","nuku bubu ogada nguma, ayé nguvu cya woji wokuba,",0.9231,0.4737
11,"Ɣe ma ɣi la, Gaal, Ebed ƒe vi, ʋu kple nɔviawo yi Sekem eye wòzu ame ŋkutawo dometɔ ɖeka le dua me.","ke mayi la gal herbert fevi, vuplwa eno vyao yi sikem, eyo ziwame nkuta odyo metode kale dwama.",0.9091,0.3784
12,"Eɖo Selax tá la ƒe gli si le fia ƒe abɔ kple atrakpui si ɖiɖi tso David ƒe du me, dome la.","aɗa si la stala fe gli, si le fya fe a bo, ple a tra kwi, si ɗini co davidi fe dumela,",0.8636,0.3433
13,Vi lae tsɔ eƒe nya ƒe ŋusẽ la lé xexeme blibo la ɖe te.,ይህ ላይ ቸው እ በ እኛ በ ምሰ ላለ ህህ መብሊ ቦ ላደ ቴህ ም ለ እ ት,1.2857,1.0
14,avifafa kple nublanuiɣli ɖi bobobo; Rahel nɔ avi dzi le viawo ta.,a fi fafa plenu blawniw li di bôbôbô. rachel no a fi jii lefiaw ta.,1.1667,0.3077
15,"Megblɔ na wo be miɖo to nye gbe, eye miwɔ nu siwo katã megblɔ na mi la.","mε gblɔ na wo bε, mi ɖo to ɲeg gbε, e ye mi ɔ nu siwokatan mε gblɔ na mi la.",0.8235,0.1887
16,Woatsi ado xoxo abe awu ene.,"wà tyi, a do hoho abeɛ a wɛnɛ,",1.3333,0.4091
17,"Ne èkplɔ mí ɖo la, àkpɔ gome le nu nyui siwo katã Yehowa wɔna na mí la me.","na ɓe kplomi ɗu la, a kpogomele nu ñuis yukata ye ho a wona namilam.",0.8889,0.3455
18,"Yaala, Darkon, Gidel.",yàlla. Dakon. Gider.,1.0,0.25
19,"Migakpa kpeawo kple dɔwɔnu aɖeke o, elabena ne miekpa wo la, womagadze be woawɔ wo ŋu dɔ hena vɔsamlekpuiɖiɖi nam o.","miga kpa a kpa o, ple doonwa de kawo, ala bëna ne mie kpa o la, fuma nga jëbëwa wo o ñu do hën na fo samle kpidi di nam o.",1.2381,0.3548
20,"Kpɔ ɖa, àyɔ dukɔ siwo mènya o la vɛ.","bɔɖa?” a yo dwukan, sioo, ma nyawn la fe.",0.8889,0.5
21,"Esi nètsrɔ̃ dukɔ geɖewo ta la, wò hã atsrɔ̃.","axa ciit, na ciito jukoo gëndëwë tala, wu gaa a ciiro ɗo o.",1.4444,0.9688
22,"Èlɔ̃ dzɔdzɔenyenye, eye nèlé fu ŋutasesẽ, eya ta Mawu.","xelno jojo ñeñe, a yena la fungu tasa sa, a yata mawu,",1.2222,0.5238
23,"Ɖewo ge ɖe kpenyigba dzi, afi si anyi mesɔ gbɔ le o.","dawa gara kpanyigma ndi, afisi a ñima sogban le o.",0.8333,0.4103
24,"Benui, Xenadad vi, dzra akpa si kplɔe ɖo la ɖo.","benwi, henadadvi jla akpas ikpola e dola dola.",1.0,0.3143
25,Wotsɔa gliɖolawo kple atikpalawo be woaɖɔ Yehowa ƒe gbedoxɔ la ɖo.,wo cwa glido la o ɓla atikpa la o ɓe wa doye ho a fɔeg ɓe ɗo xola ɗo,1.7273,0.3636
26,"Eda gbe le dɔlélawo katã ŋu, eye wòde se na wo be womagana amewo nadze si ye o.","e daagbe le dolela wo katanu, e yewo dose na wo ber, omo gana a moo na jesi ye o. e gblon es fya ber, mawo po nyasi, wo gblono to, a pa gwe pande la ezaya.",1.7778,1.1
27,Wosa vɔ geɖe gbe ma gbe kple aseyetsotso gã elabe Mawu na dzidzɔ yɔ ame sia ame ƒe dzime.,"osavwo gede gbemagbe, bële ase coco ga, elabe maona jijo yo amese mefe jime.",0.9474,0.3857
28,"Egblɔ na wo be, “Enyo, maɖe egɔme na mi.",እግን ነው በኤ እኙ ማደህ ገመ ና ምን,1.0,1.0
29,"Wo katã wole agbagba dzem be woado ŋɔdzi na mí hesusu be, “Woƒe alɔwo ado agblɔ le dɔ la ŋu, eye womate ŋu awu enu o.","woka tan o le a gbagba jεn bε, wà dɔ ŋɔ ji na mi, xe susu bε, o fa lɔ o a dɔ àgblɔ lε dolaŋ, eyè ó ma tɛŋwa wε nu.",1.1538,0.3636
30,Aƒetɔ gblɔ na Mose kple Aron le Egipte-nyigba dzi be: “Ɣleti sia nanye ɣleti vevitɔ na mi le ƒèa me.,a po togbona mosèque le a rom la égypte njikma njibaa. le tiis siya nanñe le ciwevi ton ami le puyam,1.05,0.4156
31,"Yesu gblɔ nɛ be, “Ne èdi be yeazu ame dzɔdzɔe blibo la, yi nàdzra nu sia nu si le asiwò la, eye nàtsɔ ga la na ame dahewo, ekema kesinɔnuwo anɔ dziƒo na wò.","ya suglo ne ba, ne adi ba yazu ama jojwe blibo la, yinajira nu sianu, sila a siwo la, a yena co gala na amada haw, aka maka sinonu ano ji fo naw,",0.8529,0.3333
32,"Esi wònɔ nukua wum la, ɖewo ge ɖe mɔ to, eye xeviwo va fɔ wo mi.","a siwo nonu kwa wum la, da wo gada moto a ye xavi o va foo mi,",0.875,0.3261
33,"Aƒetɔ ayra wò dɔwɔwɔwo katã, eye nu ayɔ wò ava taŋ.",a fètwa a jira wo de wo wo ka tàn a yianu a yo wo a va tàn,1.6364,0.5128
34,Mema hadzilaawo ɖe akpa eve me: akpa gbãtɔ to ɖusime le glia dzi ɖo ta Akɔligbo la gbɔ.,"mama hajji lawde akpa fm me, akpa gba to to dusi me, leglaji duta a kolik bula gbo.",0.7778,0.3088
35,Aƒetɔ akplɔ ƒoƒoe aƒu wò abe ale si wòwɔ Egiptetɔwo ene.,apres too a kploo fofwe a fuwo a beale si wo wana siptu too ene,1.1818,0.4444
36,Elabe èkɔ amewo ƒe ʋu ɖi.,"yelabe, e coo, a me wopo wudde yw'r hyn a wadre yw'r hyn a wadre yw'r hyn a wadre yw'r hyn a wadre yw'r hyn a wadre yw'r hyn a wadre yw'r hyn a wadre yw'r hyn a wadre yw'r hyn a wadre yw'r hyn a wadre yw'r hyn a wadre yw'r hyn",8.8333,7.8421
37,Woŋlɔ agbalẽ la kple Aramaik alfabeta ɖe Aramaikgbe me.,"wóñla gbanella, blé aramík alfabéta, dé aramík gbém.",1.0,0.3913
38,Benyamin kple Xasub dzra akpa si kplɔ nunɔlaawo tɔ ɖo la ɖo.,béña mi pula ha sub dila akwa si kpilo nono la o toɗola ɗo.,1.0833,0.4167
39,Hlɔ̃wo ƒe tatɔwo akpe eve alafa ade nɔ aʋalɔglo siawo nu.,nongu fota tou ak për vala fada no avalogu sia unu.,1.0,0.4889
40,"” Yesu ɖo eŋu be: “Ɖe miexlẽ nu si David wɔ, esime dɔ wu eya kple eŋutimewo kpɔ oa?","ye so doon u ber. de miye xlanu si davide wo, e simodowo ak yaak ple, anti mo kpowo wa.",1.0556,0.4
41,"Egblɔ nɛ be, “Tso nàkplɔ ɖevi la kple dadaa atrɔ ayi Israelnyigba dzi, elabena ame siwo le ɖevi la ƒe agbe yome tim la ku!",agblo ɗe bɓ cona klo de villa ɓe dada a tro ayi isra el ɲigbaji ɗalaba na a masiw le de villa fɓ agba yoma tim lakoum,1.0,0.3617
42,"Solomo ƒe dɔlawo ƒe dzidzimeviwoe nye: Sotai, Hasoferet, Peruda.",solo mo fye doola fye jinymeviwé nye? sotay! haso ferret! peruda!,1.0,0.3077
43,"Yoyada kple viawo si ami nɛ, eye wodo ɣli be: “Fia nenɔ agbe tegbee!","yo ya ɖakplɛ vi a o siamínè, ɛye, wo dɔ wo libɛ, fyaɖe nɔ agbètégbè.",1.0714,0.3137
44,"Esime Yehu nɔ to hem na Axab ƒe ƒomea la, edo go Yuda-megãwo kple Axazya nɔviŋutsu ƒe viwo, ame siwo subɔa Axazya eye wòwu wo.","e siye hum nɔ tɔ hɛm na ahabu fɛ fo miara, ɛ dɔ go yɔ damɛgan o, pɛ ahadzia nɔvi nutu fɛvi o, a mɛ siyo so bo a ahadzia ɛyɛ wɔwɔ.",1.16,0.4286
45,"Aron nye kɔ kpɔe, eye kpɔ ɖa, Miriam dze anyi.","haro njekoo kpoj, ejije kpoda, mirjam jaanj.",1.0,0.5294
46,"Ame siwo wɔ babla ɖe eŋu la woe nye Zabad, ame si dadae nye Simeat, Amon ƒe viwo dometɔ ɖeka kple Yehozabad, Simirit, nyɔnu aɖe si tso Moab.","amasiyo wababla da ŋula wanyo zabat, amasida dayo nya simyat, amont wavyo dumato da kakpla yahoo zabat, simirit, nyonwada sicum moab.",0.9286,0.3333
47,"Miklã mia ɖokui ɖa tso anyigba la dzi tɔwo kple mia srɔ̃, dukɔ bubu me nyɔnuawo gbɔ.","mi clan miadukwi ɗa to a ƴiɓana ji to ɓile miasron, jukobu bume ñon wogbo.",1.0,0.4462
48,"Eya ta Yerusalemnɔlawo tsɔ Axazya, Yoram ƒe dɔmlɔea ɖo fiae ɖe eteƒe eye Axazya, Yuda-fia Yoram viŋutsu zu fia.",eya ta yerusalemu nolawo co ahaziya yoramfe dominion ndofyede etefe ye ahaziya yudafya yoramvino cuzufya,0.8947,0.3258
49,"Esi wova ɖo toa te la, wokpɔ ameha gã aɖe nɔ afi ma nɔ wo lalam.","a si wo va ɗo towa ta la, wo kpo amaha gande no afima no wula lam.",1.0625,0.2553
50,Atrakpui ewo le eŋu woflɔna dea edzi.,"a traqi a woon le a ñun woflona de a aji,",1.4286,0.4333
51,Miawo ŋutɔ miekpɔ nu si Yehowa wɔ le Baal Peor kple miaƒe ŋkuwo.,miawo ñu tom ye kponus ya huwa wala bal pier ɓila mi apa ɲinkua.,1.0,0.4314
52,Ale esia hã ganye bometsitsi kple dagbadagba ɖe yame ko.,"a la asya ha ganya boma cici, fula dàgba dàgba da yamako.",1.2,0.3913
53,Nenema kee wotsɔa gayibɔ kple akɔbli dɔwɔlawo be woaɖɔ gbedoxɔ la ɖo.,na ne makee wo chwaga ibwo kpli ha kobli doola wu bwe wadrogwe dhu holadu.,1.25,0.4561
54,"“Miegado dɔmedzoe na Aƒetɔ le Tabera, Masa kple Kibrot-Hatava hã.","migado do ma jwina a fotol tabera, masakple kiprot, xa ta va xa.",1.2,0.2885
55,"eye ame siwo ɖea fu na Yuda la, aɖe ɖa.","ayee, a monsieur de la funa yu dala? a. dada.",1.0,0.4286
56,enɔ nam abe waintsetse le gbegbe ene; esi medo go wo fofowo la.,"enonam abe wenche ce legbegbene, esime dogo ofofoola,",0.9231,0.2041
57,"“ ‘O, wò Betlehem, le Yudanyigba dzi.","o, wo bethlehem, la yw dañu gbagi.",1.0,0.3462
58,"Yorah ƒe dzidzimeviwo, ame alafa ɖeka kple wuieve .","yorora fẹ́ jijimèvi ó, a màla fàrẹ̀ ká plẹ́wévẹ̀.",1.125,0.561
59,Hiã si atu wò la azu ŋɔdzi gã ŋutɔ na fiaɖuƒewo katã le anyigba dzi.,hyansi a tuwo la a zo ñwa jigantɔ na fyaɗu foo ka tan la ñigmaji,0.9333,0.4717
60,"Meɖe gbe, eye wotsa le nyaŋlɔɖigbalẽ xoxoawo me heke ɖe eŋu be, tso gbe aɖe gbe ke la, du sia tsona ɖe fiawo ŋu, eye wònye aglãdzedze kple amemabumabu teƒe.","me ɗeg ɓe, eyo chale ñangno di gbale ho xwaaw me, he kede ŋu be, co gba ɗeg ɓe kela, dusiya conade fye ŋu, eyo ñaaglan jeje, ɓle ame mabuma mbute fe.",1.0333,0.3934
61,"Esi xɔtulawo ɖo Aƒetɔ ƒe gbedoxɔa gɔme anyi vɔ la, nunɔlawo le woƒe awuwo me lé kpẽwo ɖe asi va ɖo ɖi.","a si xotu lawo du a feta pe gbe du xwa gomme a nyivola, no lawo le ope a wuombe le kpewo de a si, va do di.",1.1818,0.3038
62,dzata kple nyi dami woanɔ wo nɔewo gbɔ le ŋutifafa me.,"jaata, pléññi daami, wano wun we o gbo leŋuti fa fama.",1.0,0.3256
63,"“Elabena mato Egiptenyigba la dzi le zã sia me, eye mawu ŋgɔgbevi ɖe sia ɖe, amewo kple lãwo tɔwo siaa.","ela bëna ma to e jim te nyigbala ji le za siama, ayi ma wungo bwe vide siada, ama wok le la o towo siya,",1.2,0.275
