sample_id,reference,hypothesis,wer,cer
0,"Edu anadwo na sɛ morekɔda a, munnum mo fon anaa mo tablɛt",duanaa dwonasemɔɔ kodaa mo nlu mufuo n anamo teblet,1.0,0.3333
1,Ma Onyankopɔn Mmara Ne Ne Nnyinasosɛm Ntete W’ahonim,ma wonyankopɔn mra n ni nyinasosɛm nte tɔ a honim,1.125,0.1818
2,"Sɛ yɛde nteɛso rema a, yɛbɛyɛ dɛn asuasua Yehowa ne ne Ba no?",siɛdetno soma yɛ beden susua yehowa ne oniba no,0.7692,0.3404
3,Yɛbɛyɛ dɛn anyin wɔ gyidi no mu?,yɛbɛdeenyi wɔjidiɛno mu,0.8571,0.36
4,"Nsakrae bɛn na wo ne wo hokafo bɛpɛ sɛ moyɛ, sɛnea ɛbɛyɛ a mubetumi de ɛlɛtrɔnik mfiri ayɛ adwuma yiye?",insa krie bɛn na woni kaforɔ bɛ pɛse mo yɛ senibɛa mobɛtumi i letrɔniki  fidi ayɛ jumɛ yie,0.9,0.3537
5,"BIBLE KA SƐ YENNI YESU ANAMMƆN AKYI A, ƐKYERƐ SƐN?",biboar kase yeni yeswana mwe chia echre sen,1.0,0.4615
6,YEHOWA HYƐƐ N’ASOMFO A WƆTENAA ASE TETE NO NKURAN,yehoahyɛ nasomfo a wotenase tete no nkran,0.5556,0.15
7,"Da wɔn ase. Wubetumi aka sɛ, “Yɛda wo ase sɛ bere a anka wo ne wo kunu de bɛyɛ biribi no, wode abɔ afɔre sɛnea ɛbɛyɛ a obetumi aboa asafo no.” Asɛm tiawa saa betumi ahyɛ wɔn nkuran paa.",danoase btiakasɛ yɛdawsɛ brak niokuodi iɛbino wodeboaforɛ sebetiaboaafa aem tiawaaabɛtwkran pa,1.0,0.4857
8,TETE WO MMA WƆ YEHOWA NTEƐSO MU,ta tawumawa huwantni sumu,1.0,0.44
9,‘Megye wɔn afi wɔn a wobu wɔn animtiaa no nsam.’,maji wɔ ε fi wona bo bu ’anim tea no ɔsɛnm,1.0,0.4444
10,Dɛn na yebetumi ayɛ ama Yehowa ahu sɛ yɛpɛ sɛ yɛbɛka n’abusua no ho?,den ye bitumiayama yehuwahunse ye pesa ye bɛkan n abusiano ho,0.9286,0.283
11,"Nkɔso a mmofra nya wɔ Onyankopɔn som mu no, dɛn na awofo betumi ayɛ de aboa wɔn ma wɔadi ho ahurusi?",enkoswa mofre nyaonyankopɔn sun mono den na ofuo bitumia ye deabwawɔ mo wedi hu e rusie,0.9524,0.3333
12,SƐNEA HONHOM FAM ADUAN A ƐYƐ DEN BOA YƐN MA YƐN HO KOKWAW,sena ho mɛduɛ ne a ar de buaye mayɛ ko,0.9231,0.5556
13,NEA NKURƆFO YƐE WƆ THE FINISHED MYSTERY NHOMA NO HO,nea krɔfo yɛɛ wɔdɛ fɛnimri n hoa ne ho,0.8,0.4286
14,“Tie Nteɛso Na Hu Nyansa”,tientne swɔ ne hunyansa,1.0,0.2632
15,W’abam Bu a Dɛn Na Wobɛyɛ De Agyina Ano?,wa ba mbua dɛɛ no ɔ bɛyɛ die ji nanɔ,1.1111,0.3333
16,SƐNEA YEBENYA AHOFADI ANKASA,sɛnea yɛbenya aho fɛ diankasa,1.0,0.08
17,Yehowa Bɛbɔ Wo Ho Ban—Ɔbɛyɛ No Sɛn?,yéhua bou h bai obye n san,1.0,0.5556
18,Adesua Ho Nyansahyɛ,adehyia ho nyansashwɛ,0.6667,0.2941
