sample_id,reference,hypothesis,wer,cer
0,"Mose ɖo nya sia ŋu na Yehowa be, “Ameawo mava Sinai toa dzi o, elabena ède se na wo be womekpɔ mɔ ava o.",mosoeɖo nya sia nu na yevu abe ameawo ma va si na etoa dzi o elabena de se na wo be wome kpɔm woava o,0.5833,0.1169
1,le dowòme.,le dɔwɔ me,1.0,0.25
2,"Esi Sanebalat se be míele glia ɖom la, eku dzi nɛ.",esi senubala sebe míele glia ɖom la ekɔ dzɛ̃,0.5455,0.1579
3,"” Nyɔnua kɔ vidzĩa dzoe, eye wòɖakpɔ edzi.",nyɔnua kɔ vi dzia dzoe eye woɖe akpɔ dzi,0.7143,0.125
4,"Fia Dario ɖe gbe be woayi dɔa dzi, eye wowu gbedoxɔa nu.",fia daɖiwo ɖe gbe be woayi dɔa dzi eye wowu gbedoxɔa nu,0.0833,0.0465
5,"Míawo ɖeɖe míatui na Aƒetɔ, Israel ƒe Mawu la abe ale si Persia-fia Kores ɖoe na mí la ene.",míanɔɖeɖe mia tui na aƒetɔ yi le aƒemawo la abe alesi ƒe siafia kɔɖe esi ɖoe nami la ene,0.6842,0.2286
6,Ale wona gae tso esi wodzɔ le trɔ̃ Baal Berit subɔƒe la me eye fia Abimelek tsɔ ga sia ƒo gbevu aɖewo nu ƒu ɖe eɖokui ŋu.,ale wo na gae tso esiwo dzɔ le trɔm baldirit subɔƒe la me eye fia bima le tsɔga sia ƒogbeŋu aɖewo nu ƒu ɖe eɖokui nu,0.4815,0.0968
7,Dzudzɔ de dzi ʋĩi abe dzudzɔti me wòle dodom tso ene; to blibo la le ʋuʋum sesĩe ŋutɔ.,dudɔdɔdzi ʋii abe dudɔtime ƒle dedɔ wɔm tsyɔ ene tɔ blibo la le ŋu ŋum sesiẽe ŋutɔ,0.7222,0.2836
8,"Eya ta azɔ la miʋu miaƒe nuvɔ̃ me na Aƒetɔ, mia tɔgbuiwo ƒe Mawu la, eye miawɔ eƒe lɔlɔ̃nu.",eyata azɔla miŋu míaƒe nuwo ƒe nuwo me na aƒetɔ mia tɔgbi woƒe mawu la eye miawo eƒe lɔlɔnu,0.5263,0.1765
9,Ewɔ ɖeka kple Ahab to via nyɔnuvi ɖeka ɖeɖe me.,ewɔ ɖeka kple aha tod via nyɔnuvi ɖeka ɖe ɖe me,0.4,0.0541
