sample_id,reference,hypothesis,wer,cer
0,"Mose ɖo nya sia ŋu na Yehowa be, “Ameawo mava Sinai toa dzi o, elabena ède se na wo be womekpɔ mɔ ava o.",ŋusẽ ɖo nye asia ŋu na yeho abe ameawo ma va tsi na toa dzi o elabena de sena wo be womɔ kpɔmɔa va o,0.625,0.1169
1,le dowòme.,le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔ wɔm le dɔwɔme,26.0,15.125
2,"Esi Sanebalat se be míele glia ɖom la, eku dzi nɛ.",esie senubalatsɛ be míle glia ɖom la eku dzɛ nɛ,0.4545,0.1579
3,"” Nyɔnua kɔ vidzĩa dzoe, eye wòɖakpɔ edzi.",nyɔnua kɔ vidzia dzoe eye woɖe akpɔ dzi,0.5714,0.125
4,"Fia Dario ɖe gbe be woayi dɔa dzi, eye wowu gbedoxɔa nu.",fi ya da ɖiɔɖegbe be woayi dɔa dzi eye wowuu kpe do xɔa nu,0.6667,0.1395
5,"Míawo ɖeɖe míatui na Aƒetɔ, Israel ƒe Mawu la abe ale si Persia-fia Kores ɖoe na mí la ene.",mía ɖe ɖe mía tsom na aƒetɔizle ƒe mawola abe ale si pɛsraƒea kɔ ɖe asi ɖoe na mi la ene,0.7368,0.2857
6,Ale wona gae tso esi wodzɔ le trɔ̃ Baal Berit subɔƒe la me eye fia Abimelek tsɔ ga sia ƒo gbevu aɖewo nu ƒu ɖe eɖokui ŋu.,ale wo nɔgayi tso esiwo dzɔ le trɔba alberit subɔƒe la me eye fia bim ale tsɔ ga sia ƒo gbeŋu aɖe nu ƒu ɖe ɖokui ŋu,0.4444,0.1075
7,Dzudzɔ de dzi ʋĩi abe dzudzɔti me wòle dodom tso ene; to blibo la le ʋuʋum sesĩe ŋutɔ.,dzo dɔdɔdzivi abe dudɔtime kple dɔ wɔm tso ene to blibo la le ŋuŋum sesɛ̃e ŋutɔ,0.5556,0.2239
8,"Eya ta azɔ la miʋu miaƒe nuvɔ̃ me na Aƒetɔ, mia tɔgbuiwo ƒe Mawu la, eye miawɔ eƒe lɔlɔ̃nu.",eyata asɔla miŋumia ƒe nuƒe wo me na aƒetɔ míatɔgbiwo ƒe ma wu la eye mia wɔ eƒe lɔlɔnu,0.6842,0.1176
9,Ewɔ ɖeka kple Ahab to via nyɔnuvi ɖeka ɖeɖe me.,ewɔ ɖeka kple aɖa tovia nyɔnuvi ɖeka aɖe ɖe eme,0.6,0.1081
