sample_id,reference,hypothesis,wer,cer
0,TA WA TERƐ SORI KA NEƐZAA VƐNƐ KA SAGEDIIBU HO NAŊ TAA A LAŊNOƆRE PUORUU EŊƐŊ NA SIGRE TEŊƐ,tawa tere sori ka neɛzaa vɛ ne ka sagre be o naŋ taa a laa nuuri puori eŋe mɛ sigi teŋe,0.7895,0.2877
1,YƐLƐ TE NAŊ NA ZANNE,yɛlɛ te naŋ la zanna,0.4,0.125
2,VƐŊ KA HO TEƐROŊ GAŊ KA HO NAŊ KYƐNƐ SIGRI HO MEŊƐ MEŊ,laŋ ka o tēɛroŋ gaŋ gaŋ ka fo naŋ kyɛnɛ segre fo meŋɛ meŋ,0.5385,0.2619
3,YƐLƐ TE NAŊ NA ZANNE,yɛlɛ te naŋ la zanne,0.2,0.0625
4,"A maŋ kyɛrɛɛ fẽẽ ka N nyɛ accident, kyɛbee N maŋ de la a lɔɔre te va boma mine naŋ are?",a maŋ kyɛrɛ fēē ka eŋ nyɛ asedɛn kyɛ bee maŋ de la a lɔɔre tuvaboma mine naŋ are,0.4286,0.1846
5,GYOOB YƐLƐ ŊA NA BAŊ SOŊ TEŊ KA TE NYƆGRƆ TE MENNE,gyo bie la nyɛ na baŋ sɔŋteŋ ka te nyɔgrɔ te meŋ ne,0.6667,0.2308
6,Bon nanso ka Naaŋmen tere sori teŋ dire dɔgɛɛ,bone naŋ soɔ ka naaŋ maŋ tere sori tere dɔgɛɛ,0.7778,0.2162
7,"Sobuoŋ ka a Baabole vɛŋ teŋ baŋ peɛlaaŋ ka ka Jehoovaŋ wa di suuri ko te, a ba la seŋ ka te vɛŋ ka a dɔnnɔ te?",soboŋ ka a baabul vɛɛnte baŋ peɛlaaŋ ka gyoge baŋ wa de suur kpɛ te a ba la seŋ ka vɛɛ ka a dɔnɔ teŋ,0.4815,0.2805
8,Hulda Da Toɔ̃ Ta La Yɛlɛ Na Oŋ Da De Biŋ O Nimitɔɔreŋ Na,hoolda dɔtɔŋ tala yɛlɛ naŋ ɔŋdala biŋ o nimitɔɔreŋ na,0.6429,0.2143
9,Jehoova da wuli teŋ ka o sereŋ eɛ siri ka o kaa te zu. Yɛlɛ yoŋ aŋ da seŋ ka te e la ka te de o Naaloŋ yɛlɛ de weɛ te zemmo poɔŋ.,diehogeba da wulo zeŋ ka o sereŋ e la zere ka o kaate zu yɛ la yoŋ aŋ da seŋkaa kyɛ e la ka a kyɛ de o naaloŋ yɛlɛ be wie te zama poɔŋ,0.5294,0.2872
