sample_id,reference,hypothesis,wer,cer
0,"Shi ya sa da yawa daga cikinku suke da rashin lafiya da rashin ƙarfi, har ma waɗansu da dama suka yi barci.",shi ya sa da yawan a cikinku suke da rashin ƙarfi da rashin lafiya waɗansuma sun yi barci,0.4545,0.2262
1,Amma ina tsoron tsokanar abokin gāba.,amma ina tsoron tsokanar abokin gaba,0.1667,0.0323
2,Zai iya yin amfani da wannan zarafi yă ciccire kawunanmu don yă faranta wa maigidansa rai?,zai iya yin amfani da wannan zarfi ya ceccine kamunanmu don ya farantawa maigidan saraa,0.5625,0.0946
3,Da manya da ƙanana duka ɗaya.,manya da kanana masu arziki,0.6667,0.5217
4,"Ba don an taƙaita kwanakin nan ba, da ba ɗan adam ɗin da zai tsira.",ba don an rage kwanakin nan ba da ba ɗan adam wanda zai tsira,0.2,0.1569
5,"Sai Yesu ya yi tambaya ya ce, “Burodi guda nawa kuke da su?",se yesu ya yi tambaya ya ce brodi gudanawa kuke da su suka ce bakwaisai ya gayawa taron,0.7692,0.7045
6,"Ya ce mata, “Ga shi kome yana a ƙarƙashina, don haka ne ma maigidana bai dami kansa da wani abu a cikin gidan nan ba; kome da ya mallaka, ya danƙa ga kulawata.",ya ce mata ga shi komai yana ƙarkashina don haka nema mai gidana bai damu kansa da wani abu a cikin gidan nan ba komai da ya mallaka ya danka ga kulawata,0.2727,0.0661
7,"Ba za ku hallaka su gaba ɗaya ba, don kada namomin jeji su yaɗu, su dame ku.",ba za ku iya hallakar da su gaba ɗaya a lokaci ɗaya ba domin kada namomin daji su yadu da yawa su dameku,0.7647,0.4912
8,Da waɗanda suka san umarnanka.,ka idojinka su koma wuri na,1.2,0.6
9,Waɗannan ne ya kamata da kun kiyaye ba tare da kun ƙyale sauran ba.,waɗannan ne ya kamata da kunkiyaye ba tare da kunkyale sauram ba,0.3571,0.0377
10,"Sa’ad da Azariya babban firist da dukan sauran firistoci suka dube shi, sai suka ga cewa yana da kuturta a goshinsa, saboda haka suka gaggauta tunkuɗa shi waje nan da nan.",saadda azaria babban frist da dukkan sauran fristoci suka dube shi sai suka ga cewa yana da kuturta agoshinsa saboda haka tsuka gaggauta tun kuɗashi waje nandana,0.4516,0.0438
11,“Mai neman sa wa wani laifi ya jā da Mai Iko Dukka?,mai neman ɗorawa mai iko duka laifi zai iya jayayya da shi,0.8333,0.6579
12,Ka rantse da Allah cewa ba za ka ba ni azaba ba!,karantse da allah cewa ba zaka bani azababa,0.6667,0.0
13,Zuriyar Yusuf ɗan Isra’ila ta zauna a waɗannan garuruwa.,juriya yosuf ɗan israila tazauna a waɗan nan ga ruurua,0.8889,0.1087
