sample_id,reference,hypothesis,wer,cer
0,"Shi ya sa da yawa daga cikinku suke da rashin lafiya da rashin ƙarfi, har ma waɗansu da dama suka yi barci.",في السر دياءون أشيكينك وفكا درش انكارفي درش ان الافية وقد انسما سيبرتي,1.0,1.0
1,Amma ina tsoron tsokanar abokin gāba.,namah inaq urang wo kanar abojingaba,1.0,0.3548
2,Zai iya yin amfani da wannan zarafi yă ciccire kawunanmu don yă faranta wa maigidansa rai?,I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only one who is in the world. I am the only,25.25,14.4595
3,Da manya da ƙanana duka ɗaya.,"Ben ya da kanana, az arzuki, demaz",1.0,0.6522
4,"Ba don an taƙaita kwanakin nan ba, da ba ɗan adam ɗin da zai tsira.",1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.,1.0,4.3529
5,"Sai Yesu ya yi tambaya ya ce, “Burodi guda nawa kuke da su?","hesiai tambaia, yeci, brodi guranau kuchiai de su, seka ceba koi, hei age awa ta lang,",1.2308,1.0227
6,"Ya ce mata, “Ga shi kome yana a ƙarƙashina, don haka ne ma maigidana bai dami kansa da wani abu a cikin gidan nan ba; kome da ya mallaka, ya danƙa ga kulawata.",gashu komeya naka raka zina.,1.0,0.8347
7,"Ba za ku hallaka su gaba ɗaya ba, don kada namomin jeji su yaɗu, su dame ku.",pa za ko i ha ha le kird su kaba dea aloka cideba do min kada daa mou min daji siya du deo ha su daa meoku,1.3529,0.6316
8,Da waɗanda suka san umarnanka.,"и дыка, с укаima урином.",1.0,0.92
9,Waɗannan ne ya kamata da kun kiyaye ba tare da kun ƙyale sauran ba.,kawata,1.0,0.9057
10,"Sa’ad da Azariya babban firist da dukan sauran firistoci suka dube shi, sai suka ga cewa yana da kuturta a goshinsa, saboda haka suka gaggauta tunkuɗa shi waje nan da nan.","Saad Azaria, Bobam Purist, De Dukka, Saoran Purist Ochi, Saka Dubeishi, Siyosaka Kachiva, Yenada Kutritta Aguasinsa, Saorada Akka, Saga Gaga Uta, Tunku Da Shuvaji, Nanda Na,",0.9677,0.3285
11,“Mai neman sa wa wani laifi ya jā da Mai Iko Dukka?,وین امان تورا ومهی که دکل افی زیاد جائیی عدشی دکم,1.0,1.0263
12,Ka rantse da Allah cewa ba za ka ba ni azaba ba!,كارنزي دعاللاتي وعه بضاقبان اذابا بضاق,1.0,1.0
13,Zuriyar Yusuf ɗan Isra’ila ta zauna a waɗannan garuruwa.,"Sudurnya Youtube, saya isera ilah. Tadah una-awak-tannah garu-rua.",1.0,0.4348
14,Daga nan kuma ya tashi ya tafi wajajen Taya da Sidon.,تحاقة ككك,1.0,1.0
15,Sulemanu kuwa ya miƙa wa Ubangiji hadaya ta salama da bijimai dubu ashirin da dubu biyu da tumaki dubu ɗari da dubu ashirin .,"So, Laman, Yaya, Daya, Tegaran, Zuminchi, Shah Nuduva, Aishirin, Devyu, The Tumai, Dupu, Dering, Dupu Aishirin,",1.0,0.5743
16,"A lokacin nan za a yi wata matsananciyar wahala, irin wadda ba a taɓa yi ba tun farkon duniya har ya zuwa yanzu, ba kuwa za a ƙara yi ba har abada.",او کتشن زایوات ازا با مزافی ارونوده با تبای با تبای با تنفر کندونیا حرزوائنزو با کوازا سای کهیین ارینتبا,1.0,1.0
17,"Da yake gurasar nan ɗaya ce, ashe kuwa, mu da muke da yawa jiki ɗaya ne, gama mu duk gurasa ɗaya muke ci.","é que a brode na TN, a chamuda moquê, bella a de TN, gama do camo brode da moquete.",0.9565,0.7089
18,"Ahiyo, Shashak, Yeremot Zebadiya, Arad, Eder, Mika’ilu, Isfa da Yoha su ne ’ya’yan Beriya maza.","Sahiyu, şashak, iremot, zeva dya, ara, edair, milka ilu, isma, de yoha, sunya enbirya,  Maza",0.9333,0.2676
19,"Ya kuma ba da shi ga sarkin Isra’ila, wanda ya jijji masa a yaƙi.",يكون بارشيكة سريقين الى الى,1.0,1.0
20,"Amma Ubangiji yana tare da Yusufu, ya kuwa nuna masa madawwamiyar ƙauna, ya sa ya sami farin jini a wurin yarin kurkukun.","Am mai au e acastănt cei tăare de si. Eu nu am asacau in orsă, eu abas si farin genii, a idăn si ugăbăn ma astăgă de mcur cu coi.",1.2727,0.7526
21,Ka amsa mini in ka san dukan waɗannan.,"é que? Amçar a meni, em casa do canvã da Nã.",1.375,0.6667
22,"Waɗannan su ne manyan Horiyawa, ’ya’yan Seyir, maza, a ƙasar Edom.","Kau denen su neman yang Koreaa ya NCR, Maza Kasar-Aduh.",0.9091,0.42
23,"’ Yanzu fa, ya Allah na Israila, sai ka tabbatar da maganarka wadda ka yi wa bawanka, Dawuda, tsohona.",ينزو يا ألا إسرائيلة بريقة تبترد مغنر الكوارينقة ودكيوى بعوانقة بابا نردة,1.0,1.0
24,"Yakim, Zikri, Zabdi, Eliyenai, Zilletai, Eliyel, Adahiya, Berahiya da Shimra su ne ’ya’yan Shimeyi maza.",ياكيم ذكري ذبدي انياني ذلية ايليل اداهية براهية دحمرا سوني ايان حماي مزاق,1.0,1.0
25,Don in samu in haɗiye yau?,"dan loka ci, doanya saham edamah harhat ilmiya",1.3333,1.35
26,"Dukan dukiyar da Allah ya kwashe daga wurin mahaifinmu, tamu ce da yayanmu, yanzu fa, kome Allah ya faɗa maka, sai ka yi.","Dukan duk kiranan, de Allah yaa karpah, yaa gawuran babammu, kamu cek, de yaa emmu. Kaya duk abin de Allah yaa fata-a maka.",0.9565,0.4574
27,"Sai dukan sarakuna, da dukan jamaa, suka yi farin ciki, suka kawo kuɗin da aka aza musu, suka zuba a babban akwatin, har ya cika.",dun ka in dettawa da mutanan su ka in murna su ka kao kudi su ka zuba ah akwa atin harie,0.96,0.5455
28,"” Haka kuma bayan jibin, sai ya ɗauki ƙoƙo, ya ce, “Ƙoƙon nan na Sabon Alkawari ne, da aka tabbatar da shi da jinina.",а,1.0,1.0
29,Ko akwai wanda zai iya kama ta ba ta kallo.,kawa koi wanda.,0.9,0.7576
30,"Sai ta ce wa mahaifinta, “Kada ubangijina ya yi fushi da ban iya tashi ba, don ina aladar mata ne.","Să ta ce ua băbântă. Băbă, cadă ca e fushide ni. Y-a de băntă a si bă, gama ina-ticin al adermată.",0.95,0.6667
31,"Addar, Gera, Abihud Abishuwa, Na’aman, Ahowa, Gera, Shefufan da Huram.",gera abihut abishua naaman ahua gera cepufan dahura,0.7,0.2453
32,Sunan tsohuwarsa Yerusha yar Zadok.,Suna mamarsa yaruşa.,1.0,0.6
33,Amma na gane harbin iska nake yi kawai.,а маноган и диоу а ваннома ку-каринка,1.0,1.0
34,"Na kuwa tambaye shi game da raguwar Yahudawan da suka tsira daga kwasan zuwa zaman bauta, da kuma game da Urushalima.","nokwata bhe shigama da rakwar nda ska sira ,daga kwa santoa ,dama bauta ,dokwama gamada urusha dima",0.8571,0.2947
35,"An ba shi tumaki dubu goma sha huɗu , da raƙuma dubu shida , da takarkari dubu biyu , da jakai mata dubu ɗaya .","E a santo é mais que do boco, mas é a hudo. E a raco é o dobo-shida.",1.0,0.759
36,Kaidodin da ka bayar kuwa dukansu masu kyau ne.,Kaido Din Kamas Aderci. Sukua Abin,1.0,0.5526
37,"” Kada fa mu yi fasikanci yadda waɗansunsu suka yi, har a rana guda mutane dubu ashirin da uku a cikinsu suka mutu.","Tak ada fa, muka pasakan cik. Ya daudan susu, suka i. Haramah Arana Guda, mutan edibu isirun, dauku, atki susu kamu.",0.9545,0.2889
38,"Domin Farisiyawa da dukan Yahudawa ba sa cin abinci sai sun wanke hannu sarai tukuna, saboda bin aladun shugabanninsu.",nubisag anadaba. Gashi faresiawa harda saoranya hudawa basa aching abinti saisumuaiti hanu saray tukuna. Misag anadun dittawa.,0.9474,0.5816
39,"Tun da ya same shi, ba ruwansa da kome, sai dai abincin da zai ci.","Baya, na Anion Comai, cede a binchidne, de veixe.",1.0,0.6939
40,Raƙumar ruwan mutuwa sun kewaye ni; raƙumar ruwan hallaka suna cin ƙarfina.,"Rauak Omar Ruan Mutua, Sincaya Wieni Rauak Omar Ruan Harlaka, Sona Ceng Garfinak",1.0833,0.371
41,"Allah, wanda ya kira ku zuwa ga zumunci tare da Ɗansa Yesu Kiristi Ubangijinmu, shi mai aminci ne.",1 day kira kuzuga go zumin citarat anseyesu kereste ubang je jumu.,0.9444,0.4615
42,"Ko kuma, me mutum zai bayar a musayar ransa?","aku tia dan cem, Rajam Burodi, Harianzuh, Boko Gani",1.0,0.8824
43,’Ya’yan ɗan’uwansa Helem su ne.,قائن تنوانسة,1.0,1.0
44,"Daga cikin dukan biranen Yahuza, mutane suka zo don su nemi Ubangiji.",2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.,1.0,3.9643
45,"har su ce, ‘Hannunmu ne ya yi nasara; ba Ubangiji ne ya aikata dukan wannan ba.","Harasuchi, hanunnu ne yayin asara ba ubangu jini yaa katadukong one number",0.875,0.2667
46,kamar daga tukunya mai tafasa a kan wutar itace.,"kemaru, daga, tuku nyamai, tafata, akan mengetar ijaisi.",0.8889,0.3077
47,"Lotan, Shobal, Zibeyon, Ana, Dishon, Ezer da Dishan.",The,1.0,0.9231
48,"Ga abin da Ubangiji ya ce muku, ‘Kada ku ji tsoro ko ku fid da zuciya saboda wannan babbar runduna.",Gavanda o Vengi diya tiya muku. Kada kojuktu ru. Koukupet da du tiya. Savada wannam babbarun dina.,0.9,0.3636
49,"Saboda haka duk wanda ya ci gurasar nan, ko ya sha a ƙoƙon nan na Ubangiji da rashin cancanta, ya yi laifin wulakanta jikin Ubangiji da jininsa ke nan.","Saborda haka, Tuguan'de yaçı broydin, koyaa kaftın, ne uban giydiririririn centa, ya yu acı ki de cinin uban giydiririn bir kena.",0.931,0.5
50,"Ya mutu, aka binne shi a birnin Dawuda, amma ba su binne shi a kabarin sarakuna ba.",Amu tu akvinni si abrndauda.,1.0,0.6719
51,ƙarfinta da kuma kyan kamanninta ba.,"kada punta, ndakuma chankamandentaba",1.0,0.3333
52,"Yusufu yana da shekara goma sha bakwai saad da ya zama makiyayin garke tare da yanuwansa, ɗan ƙanƙanen yaro ne a tsakanin yaya maza na Bilha da Zilfa matan mahaifinsa.",بینیم اشکر اگو مشابکی. که دو اتنسیونونسا واتو ایه ایه ایه مزا نبیلها. دنزل فا. ماتن با بنسا. سکری کیو انگر کن دبوبی.,1.0,1.0
53,"Iko da girma suna a hannunka, kuma ba wanda zai iya tsayayya da kai.",kumava one disease is a ida ka,0.9286,0.7547
54,"Sa’ad da Shekem ɗan Hamor Bahiwiye mai mulkin wurin ya gan ta, sai ya kama ta, ya kwana da ita, ya ɓata ta.","Saad deshe chim, Danghamur, Bahiyuvi, Memaliqiunudun, Yakanta, Sayaka mata, Yakwana dita, Yabataata",0.9565,0.3125
