sample_id,reference,hypothesis,wer,cer
0,Nyini n-zali tɔrili ni o yiɣimi du zuɣusaa katiŋa.,niriba nza tori li lo yiɣimi du zuɣusaa ka tiŋa,0.7778,0.225
1,"Bɛ ni daa wum Judas ni yɛli shɛm maa, ka di niŋ ba nyaɣisim pam, ka bɛ lo o alikauli ni bɛ ni ti o liɣiri.",bɛla daabɔgidadɛ nyɛla chen maa ka di niŋ ba nyaɣi nipam ka bɛ lɔɣili kabili niŋdi tooni laɣiri,0.7308,0.359
2,Bɛnkam tumdi dimbɔŋɔnim’ kul ku vuui bɛ zaashee.,binkam tumdi di mbɔŋɔ nim kuligi vuuyi bɛ zaa shee,1.0,0.1282
3,"Ka Naa Hɛrɔd daa wum lala maa ka yɛli, “N ni daa ŋma Jɔn Baptaizira so zuɣu la n-lan neei kum ni na maa.",ka nanyiri daabu nyɛla kpɛ maa ka yɛli ni daang maa jirambam taha so zuɣulaa n lahi nyɛ kuli ni maa na,0.7083,0.4675
4,"A shiri mi, dama di saha bɛ daa pun dɔɣ’ a.",ashirimi dama di saha bɛla apɔndɔɣu,0.7273,0.1
5,"Ka Naawuni zaligubaŋdib’ mini Farisiinim’ daa kpahindi Yisa ni bɛ nya o ni tib’ o Vuhim Dabisili dali maa bee o ku tib’ o, dama bɛ daa bɔri ni bɛ nyala o taali ka fiɣis’ o.",kanna awulirigu baŋdi o mini folasi nim da kpa ni yisa di mini nyaa o ni tibo vuhumdabisi daliya maa bihi o kutibu dama bɛ daabɔri ni bɛ nya la o tali ka pɛ so,0.7778,0.2615
6,Bɛ ni yihi kuɣa din daa di buɣim tampuya saɣiri la ni me?,bini ye kuɣa dindalibi buɣum tam pila saɣirila nima mɛɛ,0.9231,0.3182
7,"O daa zaŋ o yiko n-kari zuliya shɛb’ bɛn daa galisi ka mali kpiɔŋ gari ya, ka zaŋ ya na ti zaŋ bɛ tiŋgbɔŋ tin ya, ka yi su li kaman di ni nyɛ shɛm zuŋɔ dabisili ŋɔ.",bɛlaa zan o yiiku n kari zuli yɛla shɛba ban daai galisi ka mali kpɛ n gariya ka zaŋ yɛnati zaŋ bɛ tingbani tihiya ka yɛ su li kamani dini nyɛ shɛm zan zaŋ o dabisili ŋɔ,0.7105,0.2295
8,Pa nyin’ n-nyɛ ŋun su zuliya kam zaa nam fukumsi?,pa n nyɛ din nyɛ ŋun suhu zuli la kam zaa niŋ pɔkpuni tiŋsi,1.0,0.4595
9,N chɛ ka baɣisi leei jɛra.,nidɛmdi di tooni jɛmdi di di niŋdi na niriba ŋɔ ata piligimdi so o tooni tiri mbirigu maa,3.0,3.05
10,"Amaa ka Naawuni nira daa chaŋ naa maa sani ti yɛl’ o, “N dan’ naa, di chɛ ka Izraɛl tɔbbihi ŋɔ pahi dol’ a chaŋ, dama Yawɛ ka Izraɛlnim’ bɛn nyɛ Ifriim zuliya ŋɔ zaa so sani.",amakinawu ni daa chɛŋ naa maa sati yɛlo n dani naa di che ka ayi zaa to bihi ŋɔ pa dola chɛŋ dama yaawɛ kaayasalinima n ba n nyɛ ɛipiɛn ʒɛla so nusaa ni,0.8108,0.3721
11,Ŋuna n-simdi jilima tibu mini yiko subu hal ni saha din ka bahigu.,ŋunsim ni jirimaribo mini yiikobisi o hali ni saadam ka baagbuni,0.7692,0.4038
12,"Ka di daa ti lu Vuhim Dabisili dali yaha ka Yisa lan kpe Yɛhudianim’ jɛmbu duu ti wuhiri niriba, ka do’ so ŋun nudirigu bɔɣu kpi daa beni.",dabisi daliya ka yinsalan kpɛya o yenima jambu duu n ti wuhiri niriba ka do so ŋun nudirigu boɣu kpɛdaa biɛni,0.6786,0.3271
13,ka dabiɛm mini niŋgbuŋ sɔhibu daa paai ma din daa dam n kɔba ni zaa.,daadabɛm mini nangbani shɛbi o daa paama dundoadam nkoba nim zaa,0.8,0.3208
14,Hɔdia so mi ni Hashum ni Bɛzai ni.,kodaya so mi ni hasi shuu ni bɛ zaa ni,0.625,0.3077
