sample_id,reference,hypothesis,wer,cer
0,NIBII NI BAAYE ABUA BO NI OBATSƆ KRISTOFONYO NI EDA YƐ MUMƆŊ,nibii ni baayi abua bɔ ni obatsɔ kristofonyonie dai mumɔŋ,0.5,0.0816
1,MIKASE NII NI MITSƆƆ NII BE NI MISƆMƆƆ AKƐ KPOKPAA NƆKWƐLƆ KƐ BE NI MISƆMƆƆ AKƐ KPOKPAA WULU NƆKWƐLƆ LƐ,ikase nihi ni i tsɔɔ nihi be ní sɔmɔ akɛ kpokpaa nɔkwɛlɔ kɛ be ni sɔmɔ akɛ kpokpaa wolo nɔkwɛlɔ ɔ,0.5,0.1786
2,Mɛɛ be nɛkɛ Yehowa yelikɛbuamɔ he baahia wɔ waa?,mebe nɛkɛ eyi hoayeli kɛbɔamɔ ehe baahĩã wɔwɔaa,0.8889,0.2564
3,"Mɛni hewɔ esaaa akɛ wɔnuɔ he akɛ kɛ́ wɔbatsɔmɔ Kristofoi ni edara yɛ mumɔŋ lɛ, belɛ wɔgbe naa lɛ?",mɛni hewɔɛ saa akɛ wɔnu ɔ he akɛ ke wɔbatsɔmɔ kristofoi nɛ dala mumɔɔ bɛ wɔgbe naaa,0.6842,0.1974
4,"No hewɔ lɛ, eyɛ mli akɛ mɛi ni hi shi yɛ blema lɛ bɛ watsii, tamɔ bɔ ni wɔyɔɔ ŋmɛnɛ lɛ moŋ, shi no mli lɛ amɛyɛ gbɛ ni amɛtsɔɔ nɔ amɛtsɔɔ bɔ ni atswa.",no hewɔɔ eyɛ mli atswɛ mɛi ni hi shi yeblemaa bɛ woatsii tamɔ bɔ ni wɔyɔɔ ŋmɔ nɛ moŋ shi nu mliɛ amɛyɛ gblɛ ni amɛtsɔ nɔ amɛtsɔɔ bɔ ni atswa,0.4,0.1429
5,"Feemɔ nibii ni nyɛmimɛi lɛ feɔ lɛ eko. Yaa asafoŋ kpeei lɛ fɛɛ, ni okɛ amɛ afee ekome kɛya shiɛmɔ",fee mɔ nibi ni nyɛɛ mɛ efeɔ eko yaa asafo ŋukpee yɛ fɛɛ no woka amɛ afe kome kɛyashia mɔ wɔŋtsa nikanimɔwɔnɔ,0.9,0.4605
6,"Winston, ani sɔɔmɔ ni oyasɔmɔ yɛ Pasifik Wuoyigbɛ Ŋshɔkpɔi lɛ anɔ lɛ eye ebua bo ni onyɛ otsu onitsumɔ akɛ Australasia Nitsumɔhe Nine Ajinafoi Akuu lɛ mli nyo lɛ jogbaŋŋ?",winsin ani sɔmɔ nu oyasɔmɔ yɛ pasifik woi gbɛŋshɔkpɔi yɛ anɔ eyei boabu ni onyɛ otsumɔ nitsumɔ aklɛ ostralasia nitsumɔ he ni neajinafoe akuu emli nyowɛ jwogbaŋŋ,0.7667,0.1583
7,HÃ NIKASEMƆ ATSE ONAA,hã ni kasemɔ atse onɔa,0.75,0.0556
8,KƐ́ WƆKƐ WƆHIƐ FƆ̃ YEHOWA NƆ LƐ WƆBAANÁ NAANƆ WALA,tɛ wɔkɛ wɔhiɛ fɔ yehowa nɔɔ wɔbaananaanɔ wala,0.5,0.1026
9,"Mɛni kɛ́ wɔfee lɛ, no baahã wɔye Yehowa anɔkwa?",mɛni kɛ wɔfee ɛ no baahã wɔye yehowa anɔkwa,0.1111,0.0278
